Nr|Naam|Gem/Bijz.|Sign|Bezoekadres|Huisnummer|NA|PC|Plaats|Gemeente|Provincie|Status|Verbijzondering status|MIP|Rijksmonument|Gemeentelijk monument|Rmonr.|Link|Beschermd deel|Eigenaar|Postadres|PC Eig.|Plaats|Jaartal|Circa|Periode|Ontwerp van|Grondvorm|wc|lijk|aula|KASKI|Bijzonderheden|Grootte|Isl.|Kadaster
1730|Begraafplaats|Gemeentelijk|Gem|Wouddijk|11||3238 LG|Zwartewaal|Voorne aan Zee|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Voorne aan Zee||||||||Recht|nee|ja|nee||oorlogsgraven|4.000|nee|Ja
3664|Oude Algemene Begraafplaats|Gemeentelijk|Gem|Nijverheidsstraat|423||2901 AP|Capelle-West|Capelle aan den IJssel|Zuid-Holland|Gesloten||Nee|Nee|Ja|Geen||Begraafplaats|gemeente Capelle a/d IJssel||||1874||||Recht|nee|nee|nee||Gesloten in 1974|4.725|nee|Ja
1556|Oude Algemene Begraafplaats Haagpoort|Gemeentelijk|Gem|Kalverbos|8|bij|2611 XW|Delft|Delft|Zuid-Holland|Gesloten|Deels geruimd|Nee|Ja|Nee|525248|https://monumentenregister.cultureelerfgoed.nl/complexen/525248|Dienstwoning, gedenkteken Adrien Huet en restanten gem. begraafplaats|gemeente Delft||||1827||||Organisch|nee|ja|nee||Gesloten in 1874|2.750|nee|Nee
1614|Gemeentelijke Begraafplaats Jaffa|Gemeentelijk|Gem|Jaffalaan|10||2628 BX|Delft|Delft|Zuid-Holland|In gebruik||Nee|Ja|Nee|525265|https://monumentenregister.cultureelerfgoed.nl/complexen/525265|Begraafplaats, directeurswoning|gemeente Delft|Postbus 78|2600 ME|Delft|1868|||C.J. de Bruyn Kops|Recht|nee|ja|ja||Ned oorlogsgr|43.600|nee|Ja
4180|Vm. RK Begraafplaats Kanaalweg|Gemeentelijk|Gem|Kanaalweg|2d||2628 EB|Delft|Delft|Zuid-Holland|In gebruik|Alleen bijzettingen|Nee|Nee|Nee|Geen|||gemeente Delft||||1829||||Recht|nee|ja|nee||In 1969 gesloten voor nieuwe uitgifte|5.150|nee|Ja
590|Gemeentelijke Begraafplaats Iepenhof|Gemeentelijk|Gem|Hoflaan|20||2616 AA|Delft|Delft|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Delft|Postbus 78|2600 ME|Delft|1969|||W.C.J. Boer|Recht|ja|nee|ja||Samen met Heidemij, beheer door de Laatste Eer|68.800|ja|Ja
4164|Gemeentelijke Begraafplaats Den Haag|Gemeentelijk|Gem|Kerkhoflaan|12||2585JB|'s-Gravenhage|Den Haag|Zuid-Holland|In gebruik||Nee|Ja|Nee|17620|https://monumentenregister.cultureelerfgoed.nl/monumenten/17620|Wachthuisjes, aula, div. grafmonumenten|gemeente Den Haag||||1829|||Z. Reyers|Recht|ja|ja|ja||166 oorlogsgraven|54.350|ja|Ja
3019|Gemeentelijke Begraafplaats Westduin|Gemeentelijk|Gem|Ockenburghstraat|27||2553 AA|'s-Gravenhage|Den Haag|Zuid-Holland|In gebruik||Ja|Nee|Nee|Geen|||gemeente Den Haag||||1929||||Recht|ja|nee|ja||87 oorl GB, uitbreiding in met crematorium door Mien Ruys|130.000|ja|Ja
1903|De Essenhof|Gemeentelijk|Gem|Nassauweg|200||3314 JR|Dordrecht|Dordrecht|Zuid-Holland|In gebruik||Nee|Ja|Nee|522269|https://monumentenregister.cultureelerfgoed.nl/complexen/522269|Aula, Toegangshek met achterliggende woning en aanleg oude gedeelte|gemeente Dordrecht||||1829|||J. Smits Jzn.|Recht|nee|ja|ja|||100.000|ja|Ja
1902|Gemeentelijke Begraafplaats Dubbeldam|Gemeentelijk|Gem|Zuidendijk|270||3319 LK|Dordrecht|Dordrecht|Zuid-Holland|In gebruik||Nee|Nee|Ja|Geen||Begraafplaats|gemeente Dordrecht||||1828||||Recht|nee|ja|ja||73 oorlogsgraven|13.210|nee|Ja
2149|Algemene Begraafplaats|Gemeentelijk|Gem|Prins Bernardstraat|16a||3258 AT|Den Bommel|Goeree-Overflakkee|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Goeree-Overflakkee||||1956||||Recht|nee|ja|nee|||5.000|nee|Ja
1936|Oude Algemene Begraafplaats|Gemeentelijk|Gem|Kapoenstraat|6|bij|3247 BG|Dirksland|Goeree-Overflakkee|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Goeree-Overflakkee||||1796||||Recht|nee|ja|ja|||11.700|nee|Ja
1934|Nieuwe Algemene Begraafplaats|Gemeentelijk|Gem|Staakweg|213a||3247 BV|Dirksland|Goeree-Overflakkee|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Goeree-Overflakkee||||1996||||Recht|nee|nee|nee|||22.350|nee|Ja
1917|Nieuwe Algemene Begraafplaats|Gemeentelijk|Gem|Mariadijk|1|tegenover|3252 BB|Goedereede|Goeree-Overflakkee|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Goeree-Overflakkee||||1878||||Recht|nee|ja|ja|||16.150|nee|Ja
1922|Gemeentelijke Begraafplaats|Gemeentelijk|Gem|Dreve|1|tegenover|3249 AZ|Herkingen|Goeree-Overflakkee|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Goeree-Overflakkee||||1916||||Recht|nee|nee|ja|||7.000|nee|Ja
1929|Nieuwe gemeentelijke Begraafplaats|Gemeentelijk|Gem|Nieuweweg|2||3248 BE|Melissant|Goeree-Overflakkee|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Goeree-Overflakkee||||1985||||Recht|nee|nee|nee|||13.400|nee|Ja
1920|Oude Algemene Begraafplaats|Gemeentelijk|Gem|Binnenweg|20|bij|3248 AG|Melissant|Goeree-Overflakkee|Zuid-Holland|Gesloten||Nee|Nee|Nee|Geen|||gemeente Goeree-Overflakkee||||1850||||Recht|nee|nee|ja|||3.400|nee|Ja
2150|Oude Algemene Begraafplaats|Gemeentelijk|Gem|Hoflaan|41||3241 GK|Middelharnis|Goeree-Overflakkee|Zuid-Holland|Gesloten||Nee|Nee|Nee|Geen|||gemeente Goeree-Overflakkee||||1895||||Recht|nee|ja|nee||Gesloten m.i.v. 1988. Oorlogsgraven|7.980|nee|Ja
2147|Gemeentelijke Begraafplaats Vrederust|Gemeentelijk|Gem|Rottenburgseweg|94|tegenover|3241 XD|Middelharnis|Goeree-Overflakkee|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Goeree-Overflakkee||||1947||||Recht|nee|nee|ja|||27.600|nee|Ja
2152|Algemene Begraafplaats|Gemeentelijk|Gem|Korteweegje|16|bij|3244 AL|Nieuwe Tonge|Goeree-Overflakkee|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Goeree-Overflakkee||||1829||||Recht|nee|nee|ja|||20.000|nee|Ja
188|Oude NH Kerkhof|Gemeentelijk|Gem|Voorstraat|52||3257 BD|Ooltgensplaat|Goeree-Overflakkee|Zuid-Holland|Gesloten||Nee|Ja|Nee|31699|https://monumentenregister.cultureelerfgoed.nl/monumenten/31699|Toegangshek|gemeente Goeree-Overflakkee||||||Middeleeuwen||Kerkoriëntatie|nee|nee|nee||Ned oorlogsgraven|4.050|nee|Ja
182|Gemeentelijke Begraafplaats|Gemeentelijk|Gem|Dorpsdijk|14||3257 LA|Ooltgensplaat|Goeree-Overflakkee|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Goeree-Overflakkee||||1960||||Recht|nee|ja|nee|||8.550|nee|Ja
1915|Gemeentelijke Begraafplaats|Gemeentelijk|Gem|Dorpsweg|38||3253 ZG|Ouddorp|Goeree-Overflakkee|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Goeree-Overflakkee||||1828||||Recht|ja|ja|ja||oorlogsgraven|31.000|nee|Ja
4377|Gemeentelijke begraafplaats Kleistee|Gemeentelijk|Gem|Dirkdoensweg|35a|bij|3253 AD|Ouddorp|Goeree-Overflakkee|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Goeree-Overflakkee||||2022||||Gemengd|nee|nee|nee||Deel natuurbegraafplaats|32.000|nee|Nee
73|Oude Algemene Begraafplaats|Gemeentelijk|Gem|Emmastraat|4|tegenover|3255 BE|Oude-Tonge|Goeree-Overflakkee|Zuid-Holland|Gesloten||Nee|Nee|Nee|Geen|||gemeente Goeree-Overflakkee||||1810||||Recht|nee|nee|nee||1810-1977|2.000|nee|Ja
67|Nieuwe Algemene Begraafplaats|Gemeentelijk|Gem|Langeweg|1||3255 LJ|Oude-Tonge|Goeree-Overflakkee|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Goeree-Overflakkee||||1952|Ja|||Recht|nee|nee|ja|||17.350|nee|Ja
66|Begraafplaats Slachtoffers Watersnoodramp 1953|Gemeentelijk|Gem|Heerendijk|1|bij|3255 LE|Oude-Tonge|Goeree-Overflakkee|Zuid-Holland|Gesloten||Nee|Nee|Nee|Geen|||gemeente Goeree-Overflakkee||||1953||||Recht|nee|nee|nee|||780|nee|Ja
1921|Begraafplaats Molenweg|Gemeentelijk|Gem|Molenweg|34|tegenover|3245 LS|Sommelsdijk|Goeree-Overflakkee|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Goeree-Overflakkee||||1926||||Recht|nee|nee|ja|||36.000|nee|Ja
2153|Algemene Begraafplaats|Gemeentelijk|Gem|Nieuwstraat|27|achter|3243 AN|Stad aan 't Haringvliet|Goeree-Overflakkee|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Goeree-Overflakkee||||1877||||Recht|nee|ja|nee|||10.660|nee|Ja
1919|Algemene Begraafplaats|Gemeentelijk|Gem|Kerkhoflaan|1||3251 AL|Stellendam|Goeree-Overflakkee|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Goeree-Overflakkee||||1790||||Recht|nee|nee|ja|||15.000|nee|Ja
4246|Nieuwe Begraafplaats Statendam|Gemeentelijk|Gem|Statendam|||3251 NP|Stellendam|Goeree-Overflakkee|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Goeree-Overflakkee||||2022||||Recht|nee|nee|nee||2014, pas in 2022 in gebruik genomen|24.800|nee|Nee
1807|Algemene Begraafplaats|Gemeentelijk|Gem|Merwededijk|15||4207 AJ|Dalem|Gorinchem|Zuid-Holland|In gebruik|Alleen bijzettingen|Nee|Nee|Nee|Geen|||gemeente Gorinchem||||1894||||Recht|nee|ja|nee|||1.400|nee|Ja
1824|Oude Algemene Begraafplaats|Gemeentelijk|Gem|W. de Vries Robbéweg|33||4206 AK|Gorinchem|Gorinchem|Zuid-Holland|In gebruik|Alleen bijzettingen|Nee|Ja|Nee|525112|https://monumentenregister.cultureelerfgoed.nl/complexen/525113|Aanleg, toegangshek oude gedeelte, entreecomplex met dienstwoning en aula, toegangshek|gemeente Gorinchem|Postbus 108|4200 AC|Gorinchem|1829||||Recht|nee|ja|ja|||26.145|nee|Ja
1840|Gemeentelijke Begraafplaats De Haarhof|Gemeentelijk|Gem|Haarweg|1||4205 NC|Gorinchem|Gorinchem|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Gorinchem|Postbus 108|4200 AC|Gorinchem|1991|||Bureau Bakker en Bleeker|Recht|nee|nee|ja|||18.570|ja|Ja
1707|Oude Algemene Begraafplaats|Gemeentelijk|Gem|Prins Hendrikstraat|3||2802 KZ|Gouda|Gouda|Zuid-Holland|Gesloten||Nee|Ja|Ja|333054|https://monumentenregister.cultureelerfgoed.nl/monumenten/333054|Aula / begraafplaats|Stichting Oude Begraafplaats Gouda|Nieuwehaven 320|2801 EG|Gouda|1832||||Recht|nee|ja|ja|||6.880|nee|Ja
1706|Begraafplaats en Crematorium Ijsselhof|Gemeentelijk|Gem|Goejanverwelledijk|6||2806 NZ|Gouda|Gouda|Zuid-Holland|In gebruik||Nee|Nee|Ja|Geen||Begraafplaats, woningen en kapel|Begraafplaats IJsselhof|Goejanverwelledijk 10|2806 NZ|Gouda|1950||||Combinatie|ja|nee|ja||In WO II werden hier al gesneuvelde soldaten begraven, beheer en exploitatie door Yarden, uitbreiding met natuurbegraafplaats naar ontwerp Ada Wille|47.890|nee|Ja
2254|Algemene Begraafplaats Krommegat|Gemeentelijk|Gem|Kromme Gat|12||3372 DH|Boven-Hardinxveld|Hardinxveld-Giessendam|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Hardinxveld-Giessendam||||1829||||Recht|nee|ja|ja|||4.490|nee|Ja
1820|Begraafplaats Tiendweg|Gemeentelijk|Gem|Tiendweg|11||3372 HJ|Boven-Hardinxveld|Hardinxveld-Giessendam|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Hardinxveld-Giessendam||||||||Recht|nee|nee|nee|||10.340|nee|Ja
2256|Begraafplaats Neder-Hardinxveld|Gemeentelijk|Gem|Kerkweg|39||3371 AE|Giessendam|Hardinxveld-Giessendam|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Hardinxveld-Giessendam||||||||Recht|nee|nee|ja|||22.160|nee|Ja
1568|Algemene Begraafplaats met RK gedeelte|Gemeentelijk|Gem|Rijksstraatweg|39||3223 KA|Hellevoetsluis|Voorne aan Zee|Zuid-Holland|In gebruik|Alleen bijzettingen|Nee|Nee|Nee|Geen|||gemeente Voorne aan Zee||||1828||||Recht|nee|nee|nee|||4.230|nee|Ja
1571|Algemene Begraafplaats Nieuw Helvoet|Gemeentelijk|Gem|Smitsweg|96|bij|3222 AJ|Hellevoetsluis|Voorne aan Zee|Zuid-Holland|In gebruik|Alleen bijzettingen|Nee|Nee|Nee|Geen|||gemeente Voorne aan Zee||||1900||||Recht|nee|nee|nee|||10.600|nee|Ja
1569|Gemeentelijke Begraafplaats De Stoofweg|Gemeentelijk|Gem|Stoofweg|2||3223 CC|Hellevoetsluis|Voorne aan Zee|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Voorne aan Zee||||||||Recht|nee|nee|ja|||24.900|nee|Ja
2242|Begraafplaats Waelhof|Gemeentelijk|Gem|Kerkstraat|8||3341 LE|Hendrik-Ido-Ambacht|Hendrik-Ido-Ambacht|Zuid-Holland|In gebruik|Alleen bijzettingen|Nee|Ja|Nee|511003|https://monumentenregister.cultureelerfgoed.nl/monumenten/511003|Poortgebouw|gemeente Hendrik-Ido-Ambacht||||1854||||Recht|nee|ja|nee||uitbreiding 1933, aula eind 2015 afgebroken|7.070|nee|Ja
4126|Gemeentelijke Begraafplaats Achterambacht|Gemeentelijk|Gem|Achterambachtseweg|8b||3342 LB|Hendrik-Ido-Ambacht|Hendrik-Ido-Ambacht|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Hendrik-Ido-Ambacht||||1968||||Combinatie|nee|nee|ja|||36.200|nee|Ja
4188|Gemeentelijke Begraafplaats|Gemeentelijk|Gem|Wilhelminalaan|3||2182 CA|Hillegom|Hillegom|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Hillegom||||1830||||Recht|nee|nee|ja|||7.840|nee|Ja
1941|Algemene Begraafplaats|Gemeentelijk|Gem|Keizersdijk|106a||3291 CE|Cillaarshoek|Hoeksche Waard|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Hoeksche Waard||||1872||||Recht|nee|ja|nee|||1.200|nee|Ja
2148|Gemeentelijke Begraafplaats|Gemeentelijk|Gem|Vaartweg|2||3267 LT|Goudswaard|Hoeksche Waard|Zuid-Holland|In gebruik|Gedeeltelijk gesloten|Nee|Nee|Nee|Geen|||gemeente Hoeksche Waard||||1828||||Recht|nee|ja|ja||oude deel is met ingang van 10-03-2001 gesloten|8.265|nee|Ja
1450|Oude Begraafplaats|Gemeentelijk|Gem|Oud Heinenoordseweg|2a||3274 KD|Heinenoord|Hoeksche Waard|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Hoeksche Waard||||1889||||Recht|nee|ja|nee|||5.885|nee|Ja
1928|Gemeentelijke Begraafplaats|Gemeentelijk|Gem|Oud Cromstrijensedijk WZ|43a||3286 BR|Klaaswaal|Hoeksche Waard|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Hoeksche Waard||||1905||||Recht|nee|nee|ja||Uitbreiding h. Warnau, uitbreiding in 2008|20.125|nee|Ja
800|Gemeentelijk kerkhof St. Anthonie-Polder|Gemeentelijk|Gem|Polderdijk|67||3299 LM|Maasdam|Hoeksche Waard|Zuid-Holland|In gebruik|Alleen bijzettingen|Nee|Nee|Nee|Geen|||gemeente Hoeksche Waard||||||Middeleeuwen||Recht|nee|ja|nee|||1.335|nee|Ja
1939|NH Kerkhof|Gemeentelijk|Gem|Raadhuisstraat|37|bij|3299 AP|Maasdam|Hoeksche Waard|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Hoeksche Waard||||||Middeleeuwen||Kerkoriëntatie|nee|ja|nee||Wordt beheerd door de gemeente|2.640|nee|Ja
1942|Gemeentelijke begraafplaats|Gemeentelijk|Gem|Raadhuislaan|42||3271 BT|Mijnsheerenland|Hoeksche Waard|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Hoeksche Waard||||1873||||Recht|nee|nee|ja|||8.980|nee|Ja
4137|Oude Begraafplaats|Gemeentelijk|Gem|Wilhelminastraat|31B||3264 XR|Nieuw Beijerland|Hoeksche Waard|Zuid-Holland|In gebruik|Alleen bijzettingen|Nee|Nee|Nee|Geen|||gemeente Hoeksche Waard||||1912||||Recht|nee|ja|nee|||5.265|nee|Ja
1925|Nieuwe gemeentelijke Begraafplaats|Gemeentelijk|Gem|Kreekkant|3A||3264 LW|Nieuw Beijerland|Hoeksche Waard|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Hoeksche Waard||||1999||||Recht|nee|nee|nee|||5.880|nee|Ja
1932|Oude Algemene Begraafplaats|Gemeentelijk|Gem|Torenstraat|16|bij|3281 XP|Numansdorp|Hoeksche Waard|Zuid-Holland|Gesloten||Nee|Nee|Nee|Geen|||gemeente Hoeksche Waard||||1830||||Combinatie|nee|nee|nee|||2.790|nee|Ja
1923|Nieuwe Begraafplaats|Gemeentelijk|Gem|Hallinxweg|37||3281 KC|Numansdorp|Hoeksche Waard|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Hoeksche Waard||||1930|Ja|||Recht|nee|nee|ja|||22.685|nee|Ja
3022|Gemeentelijke begraafplaats|Gemeentelijk|Gem|Langeweg|2||3262 LE|Oud-Beijerland|Hoeksche Waard|Zuid-Holland|In gebruik||Nee|Nee|Ja|Geen||Brug met hekwerk|gemeente Hoeksche Waard||||1829||||Recht|nee|nee|ja|||28.850|ja|Ja
1931|Kerkhof|Gemeentelijk|Gem|Voorstraat|24||3265 BT|Piershil|Hoeksche Waard|Zuid-Holland|Gesloten||Nee|Nee|Nee|Geen|||gemeente Hoeksche Waard||||1524||||Recht|nee|nee|nee||Gesloten 2016|895|nee|Ja
1930|Nieuwe gemeentelijke begraafplaats|Gemeentelijk|Gem|Oud Piershilseweg|4||3265 LG|Piershil|Hoeksche Waard|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Hoeksche Waard||||1970||||Recht|nee|nee|nee|||5.540|nee|Ja
1940|De Essenhof|Gemeentelijk|Gem|Sportlaan|2||3299 XG|Puttershoek|Hoeksche Waard|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Hoeksche Waard||||1993||||Recht|nee|nee|ja|||7.800|nee|Ja
1948|Oude gemeentelijke begraafplaats|Gemeentelijk|Gem|Prins Bernhardlaan|5||3297 CB|Puttershoek|Hoeksche Waard|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Hoeksche Waard||||1827||||Recht|nee|nee|ja|||5.270|nee|Ja
1943|Nieuwe gemeentelijke begraafplaats|Gemeentelijk|Gem|Prins Bernhardlaan|7A|bij|3297 CB|Puttershoek|Hoeksche Waard|Zuid-Holland|Gesloten||Nee|Nee|Nee|Geen|||gemeente Hoeksche Waard||||1880||||Recht|nee|nee|nee|||2.530|nee|Ja
1909|Oude Algemene Begraafplaats|Gemeentelijk|Gem|Kerkstraat|11|bij|3295 BD|'s-Gravendeel|Hoeksche Waard|Zuid-Holland|Gesloten||Nee|Nee|Ja|Geen||Begraafplaats|gemeente Hoeksche Waard||||1860||||Recht|nee|ja|nee|||2.750|nee|Ja
1910|Gemeentelijke Begraafplaats|Gemeentelijk|Gem|Maasdamseweg|1||3295 LC|'s-Gravendeel|Hoeksche Waard|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Hoeksche Waard||||1951||||Recht|nee|nee|ja|||16.785|nee|Ja
1949|Gemeentelijke Begraafplaats|Gemeentelijk|Gem|Kerkstraat|78a||3291 AM|Strijen|Hoeksche Waard|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Hoeksche Waard||||1829||||Recht|nee|ja|ja|||11.790|nee|Ja
2241|Gemeentelijke Begraafplaats|Gemeentelijk|Gem|Havenstraat|7||3292 AB|Strijensas|Hoeksche Waard|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Hoeksche Waard||||1830||||Recht|nee|ja|nee|||1.030|nee|Ja
1946|Gemeentelijke Begraafplaats|Gemeentelijk|Gem|Manhille|1||3273 XH|Westmaas|Hoeksche Waard|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Hoeksche Waard||||1930|Ja|||Recht|nee|ja|nee|||6.700|nee|Ja
1933|Oude Algemene Begraafplaats|Gemeentelijk|Gem|Dorpsstraat|175|bij|3284 AG|Zuid-Beijerland|Hoeksche Waard|Zuid-Holland|Gesloten||Nee|Nee|Nee|Geen|||gemeente Hoeksche Waard||||1829||||Recht|nee|nee|nee||Gesloten 2016|2.160|nee|Ja
1926|Gemeentelijke Begraafplaats|Gemeentelijk|Gem|Koninginneweg|23a||3284 KJ|Zuid-Beijerland|Hoeksche Waard|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Hoeksche Waard||||1949||||Recht|nee|ja|ja|||12.200|nee|Ja
1575|Gemeentelijke Begraafplaats|Gemeentelijk|Gem|Dorpsstraat|49|bij|2451 AP|Leimuiden|Kaag en Braassem|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Kaag en Braassem||||||Middeleeuwen||Recht|nee|ja|nee||Uitbreiding in polder na WOII|3.840|nee|Ja
1615|Gemeentelijk kerkhof bij de NH kerk|Gemeentelijk|Gem|Herenweg|26||2465 AC|Rijnsaterwoude|Kaag en Braassem|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Kaag en Braassem||||||Middeleeuwen||Kerkoriëntatie|nee|nee|nee|||760|nee|Nee
1574|Gemeentelijke Begraafplaats Gedenkt te Sterven|Gemeentelijk|Gem|Kerkweg|58|bij|2481 KD|Woubrugge|Kaag en Braassem|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Kaag en Braassem||||1933||||Recht|nee|ja|ja||Uitgebreid in 2013|11.425|nee|Ja
1409|Begraafplaats de Bleekerij|Gemeentelijk|Gem|Sijp|13|bij|2223 BX|Katwijk aan de Rijn|Katwijk|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Katwijk||||2010|||Bureau Maris|Recht|nee|nee|nee||Was rond 2007 nagenoeg klaar|4.675|nee|Ja
2998|Gemeentelijke Begraafplaats Duinrust|Gemeentelijk|Gem|Parklaan|||2225 SP|Katwijk aan Zee|Katwijk|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Katwijk||||1952||||Recht|nee|nee|ja||Beheer door Hervormde gemeente|10.900|nee|Nee
2999|Gemeentelijke Begraafplaats|Gemeentelijk|Gem|Ringweg|3||2235 ET|Valkenburg|Katwijk|Zuid-Holland|In gebruik||Nee|Nee|Ja|Geen||Begraafplaats|gemeente Katwijk||||1942||||Recht|nee|ja|nee||445 zandgraven, 50 kelders|3.840|nee|Ja
99|Militair Erehof achter de NH kerk|Bijzonder|Oorl|Castellumplein|1||2235 CN|Valkenburg|Katwijk|Zuid-Holland|Gesloten||Nee|Nee|Ja|Geen||Begraafplaats|gemeente Katwijk||||1940||||Gebogen|nee|nee|nee||ned oorlogsgraven|190|nee|Nee
4136|Oude Algemene Begraafplaats|Gemeentelijk|Gem|IJsseldijk|357||2922 BK|Krimpen aan den IJssel|Krimpen aan den IJssel|Zuid-Holland|Gesloten||Nee|Nee|Nee|Geen|||gemeente Krimpen aan den IJssel||||1828||||Recht|nee|nee|nee||Gesloten in 1915/Buitendijks|1.300|nee|Ja
4153|Begraafplaats Waalhoven|Gemeentelijk|Gem|Tiendweg|47||2921 LW|Krimpen aan den IJssel|Krimpen aan den IJssel|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Krimpen aan den IJssel||||1982||||Combinatie|nee|nee|ja|||28.250|nee|Ja
2245|Algemene Begraafplaats IJsseldijk|Gemeentelijk|Gem|IJsseldijk|144||2924 AT|Krimpen aan den IJssel|Krimpen aan den IJssel|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Krimpen aan den IJssel||||1915||||Recht|ja|ja|nee|||13.000|nee|Ja
1756|Gemeentelijke Begraafplaats bij de kerk|Gemeentelijk|Gem|Kerkplein|6||2865 XN|Ammerstol|Krimpenerwaard|Zuid-Holland|Gesloten||Nee|Nee|Nee|Geen|||gemeente Krimpenerwaard||||||Middeleeuwen||Recht|nee|ja|nee||Sinds 1963 buiten gebruik|650|nee|Ja
1755|Gemeentelijke Begraafplaats|Gemeentelijk|Gem|Achterweg|2||2865 XD|Ammerstol|Krimpenerwaard|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Krimpenerwaard||||1963||||Recht|nee|nee|ja|||4.245|nee|Ja
4135|Gemeentelijk kerkhof|Gemeentelijk|Gem|Dorpsstraat|16||2825 BN|Berkenwoude|Krimpenerwaard|Zuid-Holland|Gesloten||Nee|Nee|Nee|Geen|||gemeente Krimpenerwaard||||||Middeleeuwen||Kerkoriëntatie|nee|ja|nee|||650|nee|Ja
1700|Gemeentelijke Begraafplaats|Gemeentelijk|Gem|Westeinde|3|bij|2825 AJ|Berkenwoude|Krimpenerwaard|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Krimpenerwaard||||1964||||Recht|nee|nee|ja|||6.100|nee|Ja
2255|Algemene Begraafplaats|Gemeentelijk|Gem|Dijklaan|97||2861 DW|De Bergstoep (Bergambacht)|Krimpenerwaard|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Krimpenerwaard||||1828||||Recht|nee|ja|ja|||7.900|nee|Ja
1691|Algemene Begraafplaats|Gemeentelijk|Gem|Poten|1||2831 AX|Gouderak|Krimpenerwaard|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Krimpenerwaard||||1829||||Recht|nee|ja|ja|||2.065|nee|Ja
1758|Algemene Begraafplaats|Gemeentelijk|Gem|Provincialeweg Oost|82||2851 AJ|Haastrecht|Krimpenerwaard|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||gemeente Krimpenerwaard||||1893||||Recht|nee|ja|ja||In 1893 geschonken aan de gemeente|2.870|nee|Ja
