Nr|Naam|Gem/Bijz.|Sign|Bezoekadres|Huisnummer|NA|PC|Plaats|Gemeente|Provincie|Status|Verbijzondering status|MIP|Rijksmonument|Gemeentelijk monument|Rmonr.|Link|Beschermd deel|Eigenaar|Postadres|PC Eig.|Plaats|Jaartal|Circa|Periode|Ontwerp van|Grondvorm|wc|lijk|aula|KASKI|Bijzonderheden|Grootte|Isl.|Kadaster
1372|NH Maartenskerkhof|Bijzonder|NH|Kerkplein|1||2181 JC|Hillegom|Hillegom|Zuid-Holland|Gesloten||Nee|Nee|Nee|Geen|||||||||Middeleeuwen||Kerkoriëntatie|nee|nee|nee|||900|nee|Nee
4324|Natuurbegraafplaats Zomerlanden|Bijzonder|Part|Boonsweg|117||3274 LH|Heinenoord|Hoeksche Waard|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||2021||||Organisch|nee|nee|nee|||94.000|ja|Nee
1398|RK Kerkhof|Bijzonder|RK|Karel Doormanstraat|51||3262 PB|Oud-Beijerland|Hoeksche Waard|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||1866||||Recht|nee|nee|nee|||1.965|nee|Ja
1350|Onze Lieve Vrouw Geboortebegraafplaats|Bijzonder|RK|Kerkstraat|59|bij|2355 AH|Hoogmade|Kaag en Braassem|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||1900||||Recht|nee|ja|nee|||960|nee|Ja
512|Algemene Begraafplaats|Bijzonder|NH|Julianalaan|7||2159 LA|Kaag|Kaag en Braassem|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||2006||||Recht|nee|nee|nee|||530|nee|Nee
1586|H Johannes de Doperkerkhof|Bijzonder|RK|Willem van de Veldenweg|24||2451 BB|Leimuiden|Kaag en Braassem|Zuid-Holland|In gebruik||Nee|Ja|Nee|509923|https://monumentenregister.cultureelerfgoed.nl/monumenten/509923|Toegangshek|||||1824|Ja|||Recht|nee|ja|nee||Mogelijk ouder|1.625|nee|Ja
1369|H Bavokerkhof|Bijzonder|RK|Leidseweg|4||2374 AL|Oud Ade|Kaag en Braassem|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||||||Recht|nee|nee|nee|||780|nee|Ja
1583|Vm. Gereformeerd kerkhof|Bijzonder|NH|Kerkstraat|50||2377 ZG|Oude Wetering|Kaag en Braassem|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||Protestantse gemeente Oude Wetering||||1909||||Recht|nee|ja|nee|||1.080|nee|Ja
1582|NH Kerkhof Oude en Nieuwe Wetering|Bijzonder|NH|Kerkstraat|11||2377 AR|Oude Wetering|Kaag en Braassem|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||Protestantse gemeente Oude Wetering||||1830||||Recht|nee|nee|nee||Deels gem. begraafplaats Alkemade|730|nee|Ja
1580|Onze Lieve Vrouw Geboortekerkhof|Bijzonder|RK|Pastoor van der Plaatstraat|17||2375 AE|Rijpwetering|Kaag en Braassem|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||1858|Ja|||Recht|nee|nee|nee|||665|nee|Ja
1576|St Petrus' Bandenbegraafplaats|Bijzonder|RK|Noordeinde|185|bij|2371 CR|Roelofarendsveen|Kaag en Braassem|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||1817||||Recht|nee|nee|nee|||2.570|nee|Ja
1572|Kerkhof Onze Lieve Vrouw Presentatie|Bijzonder|RK|Pastoor Onelplein|1||2371 EZ|Roelofarendsveen|Kaag en Braassem|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||1950||||Recht|nee|nee|nee|||1.670|nee|Ja
4190|Kerkhof van de Heilige Joannes de Doper|Bijzonder|RK|Kerkstraat|70||2223 AJ|Katwijk aan den Rijn|Katwijk|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||1911||||Recht|nee|ja|nee|||1.490|nee|Ja
4191|Begraafplaats Verpleegtehuis Wilbert|Bijzonder|RK|Tolhuisstraat|28|bij|2223 GC|Katwijk aan den Rijn|Katwijk|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||||||Recht|nee|nee|nee|||1.180|nee|Ja
1363|Grafkelder Van Wassenaar|Bijzonder|Part|Kerklaan|12|bij|2223 AN|Katwijk aan den Rijn|Katwijk|Zuid-Holland|Gesloten||Nee|Ja|Nee|23518|https://monumentenregister.cultureelerfgoed.nl/monumenten/23518|Toegang tot grafkelder|||||1858|||J. Brink Evers|Geen|nee|nee|nee||Nieuwe toegang tot grafkelder in kerk|270|nee|Nee
1386|NH Kerkhof|Bijzonder|NH|Kerklaan|12| |2223 AN|Katwijk aan den Rijn|Katwijk|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||||Middeleeuwen||Recht|nee|ja|nee|||4.030|nee|Ja
2469|Oude NH Begraafplaats|Bijzonder|NH|Zuidstraat|113|bij|2225 GV|Katwijk aan Zee|Katwijk|Zuid-Holland|In gebruik||Nee|Ja|Nee|23541|https://monumentenregister.cultureelerfgoed.nl/monumenten/23541|Begraafplaats|St. Begraafplaatsen Hervormde gemeente te Katwijk aan Zee|Voorstraat 74|2225 ES|Katwijk aan Zee|1791||||Recht|nee|nee|nee|||4.890|nee|Ja
3157|NH Begraafplaats Duinrust|Bijzonder|NH|Parklaan|115||2225 SN|Katwijk aan Zee|Katwijk|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||St. Begraafplaatsen Hervormde gemeente te Katwijk aan Zee|Voorstraat 74|2225 ES|Katwijk aan Zee|1952||||Recht|nee|nee|nee||Uitbreidingen door Ada Wille, 2016|36.175|nee|Ja
1620|Mausoleum Floris V|Bijzonder|Part|Kerkstraat|32|bij|2231 CZ|Rijnsburg|Katwijk|Zuid-Holland|Gesloten||Nee|Nee|Nee|Geen|||||||||Middeleeuwen||Geen|nee|nee|nee|||175|nee|Nee
1365|NH Kerkhof|Bijzonder|NH|Kerkstraat|32||2231 CZ|Rijnsburg|Katwijk|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||Stichting begraafplaatsen Rijnsburg||||||Middeleeuwen||Kerkoriëntatie|nee|ja|nee|||3.355|nee|Ja
3400|Gereformeerde en algemene Begraafplaats|Bijzonder|Part|Sandtlaan|39||2231 CB|Rijnsburg|Katwijk|Zuid-Holland|In gebruik||Nee|Nee|Ja|Geen||Begraafplaats, aula, gedenkteken en twee oude beuken|Stichting begraafplaatsen Rijnsburg|Kon Julianalaan 101|2231VC|Rijnsburg|1893||||Recht|nee|nee|ja||Met diverse uitbreidingen, 1970, 2007|16.785|nee|Ja
1753|St Barnabasbegraafplaats|Bijzonder|RK|Grote Haven|8||2851 BM|Haastrecht|Krimpenerwaard|Zuid-Holland|In gebruik||Nee|Ja|Nee|512485|https://monumentenregister.cultureelerfgoed.nl/monumenten/512485|Baarhuisje|||||1825||||Recht|nee|ja|nee|||915|nee|Ja
334|Tombe Bisdom van Vliet|Bijzonder|Part|Hoogstraat|164|tegenover|2851 BE|Haastrecht|Krimpenerwaard|Zuid-Holland|Gesloten||Nee|Ja|Nee|512498|https://monumentenregister.cultureelerfgoed.nl/monumenten/512498|Grafmon. voor mw. P.M. Lefévre de Montigny-Bisdom van Vliet (1923) en grafsteen voor de hond Nora (1906)|||||1881||||Geen|nee|nee|nee|||20|nee|Nee
342|Kloosterbegraafplaats Afzondering St. Gabriël|Bijzonder|RK|Provincialeweg-Oost|62||2851 AG|Haastrecht|Krimpenerwaard|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||1930||||Recht|nee|nee|nee|126|Passionisten|140|nee|Ja
4133|H Bartholomeusbegraafplaats|Bijzonder|RK|Wal|63||2871 BC|Schoonhoven|Krimpenerwaard|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||1872||||Recht|nee|nee|nee|||1.320|nee|Ja
1689|NH Kerkhof|Bijzonder|NH|De Montignylaan|18-20||2871 AH|Willige Langerak (Schoonhoven)|Krimpenerwaard|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||||Middeleeuwen||Kerkoriëntatie|nee|ja|nee||naast de kerk|450|nee|Nee
3056|St Willibrordbegraafplaats|Bijzonder|RK|Smitshoek|80||2661 CK|Bergschenhoek|Lansingerland|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||1860||||Recht|nee|nee|nee|||1.030|nee|Ja
1333|Onze Lieve Vrouw Geboortebegraafplaats|Bijzonder|RK|Noordeindseweg|104||2651 CX|Berkel en Rodenrijs|Lansingerland|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||1825||||Recht|nee|nee|ja|||4.850|nee|Ja
1323|NH Kerkhof Berkel|Bijzonder|NH|Kerksingel|1||2651 CC|Berkel en Rodenrijs|Lansingerland|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen||||p/a Molenweg 73|2651AC|Berkel Rodenrijs|||Middeleeuwen||Recht|nee|ja|nee|||635|nee|Nee
3233|Onze lieve Vrouw Visitatiekerkhof|Bijzonder|RK|Hoefweg|59|bij|2665 CC|Bleiswijk|Lansingerland|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||||||Recht|nee|nee|nee|||875|nee|Ja
1347|RK Begraafplaats Zijlpoort|Bijzonder|RK|Haven|64||2312 ML|Leiden|Leiden|Zuid-Holland|In gebruik||Nee|Ja|Ja|24732|https://monumentenregister.cultureelerfgoed.nl/monumenten/24732|Kapel / begraafplaats|Stichting RK begraafplaats Zijlpoort|Haven 64|2312 ML|Leiden|1828||||Recht|nee|ja|nee|||5.370|nee|Ja
1346|Begraafplaats Rhijnhof|Bijzonder|Part|Laan te Rhijnhof|4||2332 HZ|Leiden|Leiden|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||Stichting Begrpl. Rhijnhof|Laan te Rhijnhof 4|2332 HZ|Leiden|1910||||Combinatie|nee|nee|ja||voorheen NH; tevens RK deel, uitbreidingen Mien Ruys, Heidemij, Firma Copijn|96.000|ja|Ja
3465|St Agathabegraafplaats|Bijzonder|RK|Veurse Achterweg|29||2264 SE|Leidschendam|Leidschendam-Voorburg|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||Stichting RK begraafplaats St. Agatha|Graaf Janlaan 21|2263 TL|Leidschendam|1832||||Recht|nee|nee|ja||Kapel|4.000|nee|Ja
1697|Begraafplaats Wilsveen|Bijzonder|Part|Wilsveen|10c||2266 LR|Leidschendam|Leidschendam-Voorburg|Zuid-Holland|In gebruik||Nee|Ja|Nee|510321|https://monumentenregister.cultureelerfgoed.nl/monumenten/510321|Begraafplaats|Stichting Hervormde Begraafplaats Wilsveen|Laurentiusweer 7|2266 DD|Leidschendam|1821||||Recht|nee|nee|nee||Aangelegd op de resten van een ME kerk|3.255|nee|Ja
3389|St Laurentiuskerkhof|Bijzonder|RK|Dr van Noortstraat|88||2266 HA|Stompwijk|Leidschendam-Voorburg|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||RK Pastorie H. Laurentius   |Dr. van Noortstraat 88|2266 HA|Leidschendam|1819||||Recht|nee|nee|nee||In 1897 en 1919 vergroot|2.000|nee|Ja
3010|St Martinuskerkhof|Bijzonder|RK|Oosteinde|54||2271 EH|Voorburg|Leidschendam-Voorburg|Zuid-Holland|Gesloten||Nee|Nee|Nee|Geen|||||||1827||||Recht|nee|nee|nee|||1.675|nee|Ja
346|Kerkhof Oude Kerk|Bijzonder|NH|Herenstraat|77||2271 CC|Voorburg|Leidschendam-Voorburg|Zuid-Holland|Gesloten|Deels geruimd|Nee|Nee|Nee|Geen|||||||||Middeleeuwen||Kerkoriëntatie|nee|nee|nee||Nog enkele zerken en grafkelders|1.100|nee|Nee
1348|RK Kerkhof St. Agatha|Bijzonder|RK|Heereweg|277||2161 BH|Lisse|Lisse|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||||||Recht|nee|nee|nee||500 graven|3.835|nee|Ja
3399|Kerkhof Onbevlekt Hart van Maria|Bijzonder|RK|Nassaustraat|45||2161 RJ|Lisse|Lisse|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||1952||||Kerkoriëntatie|nee|nee|nee|||3.225|nee|Ja
1345|Begraafplaats H Engelbewaarders|Bijzonder|RK|Heereweg|455a|bij|2161 DC|Lisse|Lisse|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||1931||||Recht|nee|ja|nee|||1.525|nee|Ja
1328|NH Kerkhof bij de Grote kerk|Bijzonder|NH|Heereweg|250||2161 BS|Lisse|Lisse|Zuid-Holland|In gebruik|Alleen bijzettingen|Nee|Nee|Nee|Geen||||Lisserdijk 417|2165AE|Lisserbroek|||Middeleeuwen||Kerkoriëntatie|nee|nee|nee|||2.500|nee|Ja
3011|Protestantse Begraafplaats Duinhof|Bijzonder|NH|Spekkelaan|12||2161 GH|Lisse|Lisse|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen||||Oranjelaan 123|2161KD|Lisse|1929||||Organisch|nee|nee|ja|||29.510|nee|Ja
1665|RK Begraafplaats St. Barbara|Bijzonder|RK|Reviusplein|7||3141 SV|Maassluis|Maassluis|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen||||Noordvliet 25|3142CH|Maassluis|1960||||Recht|nee|nee|ja||Bij bezoek in 2015 niet toegankelijk|3.205|nee|Ja
3414|HH Antonius en Cornelisbegraafplaats|Bijzonder|RK|Kapellaan|35|tegenover|2635 DA|Den Hoorn|Midden-Delfland|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||Parochiekern St. Antonius & St. Cornelius   |Hoornseweg 11a|2635 CM|Den Hoorn|1933||||Recht|nee|nee|nee|||1.700|nee|Ja
4157|H Maria Magdalenabegraafplaats|Bijzonder|RK|Hammerdreef|||3155 BD|Maasland|Midden-Delfland|Zuid-Holland|In gebruik||Nee|Nee|Ja|Geen||Begraafplaats||Mr Postlaan 6|3155BM|Maasland|1829||||Recht|nee|ja|nee|||815|nee|Ja
1705|RK Begraafplaats|Bijzonder|RK|Rijksstraatweg|20|bij|2636 AX|Schipluiden|Midden-Delfland|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||||||Recht|nee|nee|nee|||2.025|nee|Ja
4146|NH Kerkhof|Bijzonder|NH|t Woudt|25||2636 HD|'t Woudt|Midden-Delfland|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||||Middeleeuwen||Kerkoriëntatie|nee|ja|nee|||520|nee|Ja
1579|H Adrianusbegraafplaats|Bijzonder|RK|Langeraarseweg|88||2461 CL|Langeraar|Nieuwkoop|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||1719||||Recht|nee|nee|nee|||1.820|nee|Ja
169|Onze Lieve Vrouw Hemelvaartbegraafplaats|Bijzonder|RK|Dorpsstraat|35||2421 AV|Nieuwkoop|Nieuwkoop|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||||||Recht|nee|nee|nee|||900|nee|Ja
1599|H Nicolaasbegraafplaats|Bijzonder|RK|Dorpsstraat|41||2441 CG|Nieuwveen|Nieuwkoop|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||RK Pastorie H. Nicolaas|Dorpsstraat 41|2441 CG|Nieuwveen|1867||||Recht|nee|nee|nee|||950|nee|Ja
1607|H Johannes' Geboortebegraafplaats|Bijzonder|RK|Noordeinde|28||2435 AG|Noordeinde|Nieuwkoop|Zuid-Holland|In gebruik||Nee|Nee|Ja|Geen||Begraafplaats|RK Pastorie|Noordeinde 28|2435 AG|Zevenhoven|1826||||Recht|nee|nee|nee||Lourdesgrot 1913|625|nee|Ja
1601|H Martinusbegraafplaats|Bijzonder|RK|Simon van Capelweg|62||2431 AH|Noorden|Nieuwkoop|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||||||Recht|nee|nee|nee|||1.475|nee|Ja
1610|NH Kerkhof|Bijzonder|NH|Noordse Dorpsweg|4||2431 AT|Noorden|Nieuwkoop|Zuid-Holland|In gebruik||Nee|Nee|Nee|Geen|||||||||Middeleeuwen||Recht|nee|nee|nee|||605|nee|Ja
